Time (s),SMU 1 V,SMU 1 I,SMU 1 R,SMU 2 V,SMU 2 I,SMU 2 R
0.000000,-5.62668e-05,7.39098e-11,-761290,0.0999594,5.9731e-08,1.67349e+06
0.110045,-5.54323e-05,8.46386e-11,-654930,0.0999614,5.9427e-08,1.68209e+06
0.220090,-5.32627e-05,7.7486e-11,-687385,0.0999612,5.93388e-08,1.68458e+06
0.330135,-5.2166e-05,8.82149e-11,-591351,0.0999598,5.92232e-08,1.68785e+06
0.440180,-5.03063e-05,7.39098e-11,-680645,0.09996,5.89764e-08,1.69492e+06
0.550225,-5.47886e-05,8.22544e-11,-666087,0.0999603,5.9005e-08,1.6941e+06
0.660271,-5.49555e-05,7.62939e-11,-720313,0.0999605,5.89049e-08,1.69698e+06
0.770317,-5.4884e-05,8.70228e-11,-630685,0.0999625,5.88238e-08,1.69935e+06
0.880363,-5.4884e-05,8.22544e-11,-667246,0.0999615,5.88727e-08,1.69793e+06
0.990409,-5.66721e-05,8.82149e-11,-642432,0.0999622,5.87928e-08,1.70025e+06
1.100454,-5.38111e-05,8.10623e-11,-663824,0.0999655,5.86915e-08,1.70324e+06
1.210499,-4.83036e-05,9.05991e-11,-533158,0.0999667,5.87189e-08,1.70246e+06
1.320544,-4.80652e-05,8.10623e-11,-592941,0.0999662,5.87654e-08,1.70111e+06
1.430590,-5.10454e-05,8.46386e-11,-603099,0.0999649,5.86104e-08,1.70558e+06
1.540636,-5.15461e-05,7.86781e-11,-655152,0.0999627,5.86057e-08,1.70568e+06
1.650682,-5.03302e-05,7.98702e-11,-630149,0.0999624,5.85079e-08,1.70853e+06
1.760728,-5.03063e-05,7.86781e-11,-639394,0.0999614,5.85008e-08,1.70872e+06
1.870774,-5.05924e-05,8.58307e-11,-589444,0.0999613,5.85937e-08,1.70601e+06
1.980819,-4.96864e-05,8.58307e-11,-578889,0.0999609,5.84483e-08,1.71024e+06
2.090864,-4.82798e-05,9.65595e-11,-500000,0.0999592,5.84209e-08,1.71102e+06
2.200910,-4.94957e-05,9.05991e-11,-546316,0.0999567,5.83982e-08,1.71164e+06
2.310955,-5.01871e-05,9.17912e-11,-546753,0.0999584,5.83768e-08,1.7123e+06
2.421000,-4.9305e-05,8.82149e-11,-558919,0.0999567,5.84579e-08,1.70989e+06
2.531045,-5.03063e-05,8.82149e-11,-570270,0.0999559,5.84638e-08,1.70971e+06
2.641091,-4.84228e-05,8.34465e-11,-580286,0.0999548,5.84435e-08,1.71028e+06
2.751137,-5.25713e-05,8.46386e-11,-621127,0.0999548,5.831e-08,1.7142e+06
2.861183,-5.37157e-05,8.46386e-11,-634648,0.0999566,5.83374e-08,1.71342e+06
2.971229,-5.22375e-05,8.34465e-11,-626000,0.0999529,5.83136e-08,1.71406e+06
3.081275,-5.29289e-05,8.10623e-11,-652941,0.0999556,5.83088e-08,1.71424e+06
3.191320,-5.5027e-05,7.27177e-11,-756721,0.0999569,5.82695e-08,1.71542e+06
3.301365,-5.73874e-05,8.34465e-11,-687714,0.0999515,5.82254e-08,1.71663e+06
