offset,event,command,paired_write_offset,read_decoded,read_raw_hex
27568,write,*RST,,,
29071,write,print(errorqueue.next()),,,
29474,read,print(errorqueue.next()),29071,0.00000e+00	Queue Is Empty	0.00000e+00	1.00000e+00,302e3030303030652b303009517565756520497320456d70747909302e3030303030652b303009312e3030303030652b30300a
30913,write,tsplink.trigger[1].reset(),,,
32438,write,print(errorqueue.next()),,,
32841,read,print(errorqueue.next()),32438,0.00000e+00	Queue Is Empty	0.00000e+00	1.00000e+00,302e3030303030652b303009517565756520497320456d70747909302e3030303030652b303009312e3030303030652b30300a
34280,write,tsplink.trigger[2].reset(),,,
35805,write,print(errorqueue.next()),,,
36208,read,print(errorqueue.next()),35805,0.00000e+00	Queue Is Empty	0.00000e+00	1.00000e+00,302e3030303030652b303009517565756520497320456d70747909302e3030303030652b303009312e3030303030652b30300a
37647,write,*RST,,,
39150,write,print(errorqueue.next()),,,
39553,read,print(errorqueue.next()),39150,0.00000e+00	Queue Is Empty	0.00000e+00	1.00000e+00,302e3030303030652b303009517565756520497320456d70747909302e3030303030652b303009312e3030303030652b30300a
40992,write,tsplink.trigger[1].reset(),,,
42517,write,print(errorqueue.next()),,,
42920,read,print(errorqueue.next()),42517,0.00000e+00	Queue Is Empty	0.00000e+00	1.00000e+00,302e3030303030652b303009517565756520497320456d70747909302e3030303030652b303009312e3030303030652b30300a
44359,write,tsplink.trigger[2].reset(),,,
45884,write,print(errorqueue.next()),,,
46287,read,print(errorqueue.next()),45884,0.00000e+00	Queue Is Empty	0.00000e+00	1.00000e+00,302e3030303030652b303009517565756520497320456d70747909302e3030303030652b303009312e3030303030652b30300a
47726,write,smua.measure.delay = 0.01,,,
49250,write,print(errorqueue.next()),,,
49653,read,print(errorqueue.next()),49250,0.00000e+00	Queue Is Empty	0.00000e+00	1.00000e+00,302e3030303030652b303009517565756520497320456d70747909302e3030303030652b303009312e3030303030652b30300a
51092,write,smua.source.delay = 0,,,
52612,write,print(errorqueue.next()),,,
53015,read,print(errorqueue.next()),52612,0.00000e+00	Queue Is Empty	0.00000e+00	1.00000e+00,302e3030303030652b303009517565756520497320456d70747909302e3030303030652b303009312e3030303030652b30300a
54454,write,smua.trigger.count = 1281,,,
55978,write,print(errorqueue.next()),,,
56381,read,print(errorqueue.next()),55978,0.00000e+00	Queue Is Empty	0.00000e+00	1.00000e+00,302e3030303030652b303009517565756520497320456d70747909302e3030303030652b303009312e3030303030652b30300a
57820,write,smub.trigger.count = 1281,,,
59344,write,print(errorqueue.next()),,,
59747,read,print(errorqueue.next()),59344,0.00000e+00	Queue Is Empty	0.00000e+00	1.00000e+00,302e3030303030652b303009517565756520497320456d70747909302e3030303030652b303009312e3030303030652b30300a
61186,write,smub.measure.delay = 0.01,,,
62710,write,print(errorqueue.next()),,,
63113,read,print(errorqueue.next()),62710,0.00000e+00	Queue Is Empty	0.00000e+00	1.00000e+00,302e3030303030652b303009517565756520497320456d70747909302e3030303030652b303009312e3030303030652b30300a
64552,write,smub.source.delay = 0,,,
66072,write,print(errorqueue.next()),,,
66475,read,print(errorqueue.next()),66072,0.00000e+00	Queue Is Empty	0.00000e+00	1.00000e+00,302e3030303030652b303009517565756520497320456d70747909302e3030303030652b303009312e3030303030652b30300a
67914,write,smub.source.func = 1,,,
69433,write,print(errorqueue.next()),,,
69836,read,print(errorqueue.next()),69433,0.00000e+00	Queue Is Empty	0.00000e+00	1.00000e+00,302e3030303030652b303009517565756520497320456d70747909302e3030303030652b303009312e3030303030652b30300a
71275,write,smua.source.func = 1,,,
72794,write,print(errorqueue.next()),,,
73197,read,print(errorqueue.next()),72794,0.00000e+00	Queue Is Empty	0.00000e+00	1.00000e+00,302e3030303030652b303009517565756520497320456d70747909302e3030303030652b303009312e3030303030652b30300a
74636,write,tsplink.trigger[1].mode = tsplink.TRIG_BYPASS,,,
76180,write,print(errorqueue.next()),,,
76583,read,print(errorqueue.next()),76180,0.00000e+00	Queue Is Empty	0.00000e+00	1.00000e+00,302e3030303030652b303009517565756520497320456d70747909302e3030303030652b303009312e3030303030652b30300a
78022,write,tsplink.trigger[2].mode = tsplink.TRIG_BYPASS,,,
79566,write,print(errorqueue.next()),,,
79969,read,print(errorqueue.next()),79566,0.00000e+00	Queue Is Empty	0.00000e+00	1.00000e+00,302e3030303030652b303009517565756520497320456d70747909302e3030303030652b303009312e3030303030652b30300a
81408,write,tsplink.trigger[3].mode = tsplink.TRIG_BYPASS,,,
82952,write,print(errorqueue.next()),,,
