first_offset,command,count
27568,*RST,2
29071,print(errorqueue.next()),2820
30913,tsplink.trigger[1].reset(),2
34280,tsplink.trigger[2].reset(),2
47726,smua.measure.delay = 0.01,1
51092,smua.source.delay = 0,2
54454,smua.trigger.count = 1281,2
57820,smub.trigger.count = 1281,2
61186,smub.measure.delay = 0.01,1
64552,smub.source.delay = 0,2
67914,smub.source.func = 1,1
71275,smua.source.func = 1,1
74636,tsplink.trigger[1].mode = tsplink.TRIG_BYPASS,1
78022,tsplink.trigger[2].mode = tsplink.TRIG_BYPASS,1
81408,tsplink.trigger[3].mode = tsplink.TRIG_BYPASS,1
84794,smua.source.autorangev = smua.AUTORANGE_ON,1
88177,smua.trigger.source.limiti = 0,1
91548,smua.source.highc = smua.DISABLE,1
94921,smua.source.offmode = smua.OUTPUT_NORMAL,1
98302,smub.source.autorangev = smub.AUTORANGE_OFF,1
101686,smub.source.rangev = 0.2,1
105051,smub.trigger.source.limiti = 0,1
108422,smub.source.highc = smub.DISABLE,1
111795,smub.source.offmode = smub.OUTPUT_NORMAL,1
115176,smua.measure.rel.leveli = 0,1
118544,smua.measure.filter.count = 10,1
121915,smub.measure.filter.count = 10,1
125286,smua.measure.rangei = 1E-05,1
128654,smua.sense = smua.SENSE_LOCAL,1
132024,smub.sense = smub.SENSE_LOCAL,1
135394,smub.measure.rangei = 1E-05,1
138762,smub.source.levelv = 0.1,2
142127,smua.source.levelv = 0,2
145490,smub.measure.rel.leveli = 0,1
148858,smub.measure.filter.enable = smub.FILTER_OFF,1
152243,smua.measure.filter.enable = smua.FILTER_OFF,1
155628,smua.source.limiti = 0.5,1
158993,smub.source.limiti = 5E-05,1
162360,smua.measure.lowrangei = 1E-10,1
165731,smub.measure.lowrangei = 1E-10,1
169102,smua.measure.nplc = 0.999,1
172468,smub.measure.nplc = 0.999,1
175834,smub.measure.autozero = smub.AUTOZERO_AUTO,1
179217,smua.measure.autozero = smua.AUTOZERO_AUTO,1
182600,smub.source.output = smub.OUTPUT_OFF,2
185977,smua.source.output = smua.OUTPUT_OFF,2
189354,smua.abort(),1
190474,smua.source.func = smua.OUTPUT_DCVOLTS,1
193853,KSSweepListTable_CHa = {},1
